,提现,代扣交易退回积分,售后维权(-) AS售后维权：天猫佣金,淘宝客佣金代扣款
240392930149563,202,-0.97,0,-9.7
240448498535557,196.42,-0.99,0,-9.9
240985179062539,375.1,-1.48,0,-14.9
241036616608979,136,-0.68,0,-6.8
241208250197363,163.7,-0.82,0,-8.25
274492118554359,328,-1.64,0,-16.4
274724354181336,298,-1.49,0,-14.9
275261314004759,119.28,-0.59,0,-5.96
275379352723509,438,-2.19,0,-21.9
275401117793795,258,-1.24,0,-12.4
276176390906735,209,-0.97,0,-9.75
276540476354340,248,-1.24,0,-12.5
276564873828762,0.2,0,0,0
276667196013536,1410,-6.95,0,-69.5
276782155488428,179,-0.89,0,-8.95
276904995675334,924,-4.62,0,-46.2
276910831315135,255.94,-1.29,0,-12.9
276923271982970,112,-0.56,0,-5.6
277033355414665,414,-2.07,0,-20.7
277152750240775,388,-1.94,0,-19.4
277270717062976,173.6,-0.87,0,-8.75
277292351430020,9.92,0,0,0
277376356958962,119.04,-0.6,0,-6
277427076636987,195.47,-0.18,0,-9.45
277520916730917,109,-0.54,0,-5.45
277531359093956,10,-0.01,0,-0.1
277604078447580,24.8,-0.08,0,-0.85
277713318076676,109,-0.54,0,-5.45
277713437391286,28.77,-0.14,0,-1.45
277756914261878,31.74,-0.12,0,-1.2
277897311792007,548,-2.74,0,-27.4
278038478129726,196,-0.98,0,-9.8
278090075423763,39,-0.14,0,-1.45
278091117509193,195.46,-0.18,0,-9.45
278295598173066,198,-0.99,0,-9.9
278390352691491,7.94,0,0,0
278633792713348,475.17,-2.39,0,-23.95
278695436604343,328,-1.64,0,-16.4
278782194601291,123.14,-0.52,0,-5.3
278839198730861,125,-0.57,0,-5.75
279216953684364,187,-0.93,0,-9.35
279347551867137,196,-0.94,0,-9.4
279484791118518,689,-3.44,0,-34.45
279568156924572,434,-2.17,0,-21.7
279576679176199,312.48,-0.29,0,-5.8
279844955319893,435.49,-2.14,0,-21.45
280053871599234,475.17,-2.39,0,-23.95
280056831889234,0.1,0,0,0
280068470027681,0.1,0,0,0
280221799563009,68.45,-0.29,0,-2.95
280330759978787,308,-0.29,0,-5.8
280629995759978,83.34,-0.42,0,-4.2
280714277488005,113.09,-0.5,0,-5.1
280850114902576,136,-0.68,0,-6.8
280907075856801,328,-1.64,0,-16.4
281030639184879,288,-0.27,0,-5.56
281222958077284,328,-1.64,0,-16.4
281837593682970,10,-0.05,0,0
281844558328871,325.38,-1.64,0,-16.4
282011198888502,410,-0.38,0,-7.68
282081355004393,193.44,-0.97,0,-9.75
282088030671533,152.9,-0.71,0,-7.2
282448117896950,209.1,-1.04,0,-10.45
282461158889383,177,-0.84,0,-8.45
282518471737170,1104,-5.52,0,-55.2
282534194980160,1684.53,-1.69,0,-33.96
282799595296569,165,-0.82,0,-8.25
282823831454831,59.52,-0.25,0,-2.5
282944678586926,378,-1.89,0,-18.9
283002196921830,385,-1.92,0,-19.25
283176599045842,970.18,-4.89,0,-48.9
283501999265121,228,-1.14,0,-11.4
283612478843646,207,-1.03,0,-10.35
283993237105010,394.82,-1.99,0,-19.9
284069833763080,328,-1.64,0,-16.4
284081430766036,195.44,-0.89,0,-8.95
284431633187021,394.82,-1.99,0,-19.9
284523719437654,204.35,-0.99,0,-9.9
284687878810954,114.08,-0.5,0,-5
284695879942900,328,-1.64,0,-16.4
284782117367323,0.2,0,0,0
284825792860184,300,-0.29,0,-5.8
284878275154512,390,-1.95,0,-19.5
285158119326981,209,-0.97,0,-9.75
285333477137149,205,-0.93,0,-9.35
285462077866004,68,-0.29,0,-2.9
285537958236167,365.06,-1.84,0,-18.4
285927194602058,230.14,-1.11,0,-11.1
286029033150975,236.8,-1.19,0,-11.9
286141191259907,434,-2.17,0,-21.7
286238077003031,52,-0.22,0,-2.2
286337795708048,297,-1.43,0,-14.35
286371635064358,228,-1.14,0,-11.4
286794878593324,325,-0.29,0,-5.98
287091678590431,394.83,-1.99,0,-19.9
287092153818005,153.76,-0.71,0,-7.15
287268517397996,515.84,-2.6,0,-26
287341118682834,310,-1.49,0,-14.9
287478638237487,123.01,-0.55,0,-5.5
287497119597487,0.1,0,0,0
287841678259088,99,-0.49,0,-4.95
287971518978073,1328,-6.49,0,-25.96
288135754938130,874,-4.32,0,-43.2
363170768283742,128,-0.64,0,-6.4
370369405169693,368,-1.84,0,-18.4
370400281055846,8,-0.04,0,0
370503927240993,150,-0.66,0,-6.6
371500049779907,266,-1.25,0,-12.55
371845402379630,334,-1.59,0,-15.95
372125520729800,325.38,-1.64,0,-16.4
372533528350987,340,-1.7,0,-17
373430644218762,394.82,-1.99,0,-19.9
373458321450854,2688.32,-2.59,0,-51.8
373983087132239,348,-1.74,0,-17.4
373992204425334,0.1,0,0,0
374079045137547,332,-1.66,0,-16.6
374229165209735,0.1,0,0,0
374232721319735,340,-1.7,0,-17
374461761197641,17,-0.04,0,-0.45
374471967909832,300,-1.5,0,-15
374876201809559,22,0,0,0
374887403472058,83.34,-0.42,0,-4.2
374920605227502,165,-0.82,0,-8.25
374933648691261,108.13,-0.54,0,-5.45
375031445940732,125,-0.62,0,-6.25
375104040910419,325.38,-1.64,0,-16.4
375147965003046,100,-0.5,0,-5
375207441421344,673,-3.36,0,-33.65
375261248381153,8.93,-0.04,0,-0.45
375280561501906,30,-0.15,0,-1.5
375360562568849,308,-1.54,0,-15.4
375612727583223,0.1,0,0,0
375616160723223,87.3,-0.4,0,-4
375641406128222,86,-0.07,0,-1.56
375644204142790,179,-0.89,0,-8.95
375771005992755,7990,-7.99,0,-159.8
375811803493377,128,-0.59,0,-5.9
375837604262498,624,-3.12,0,-31.2
